Absolute Time Status	N/A			
Absolute Time Source	PC			
Absolute Time	2019-08-02 14:32:38 ms 477.896			
Socket ID	2017122006:T1			
Module serial number	2017122006			
Module ID	M0			
Position ID	T1			
HW Range	24 V			
User Range	24 V			
PhysicalChannelId	Tacho1			
Channel group	Tacho			
Channelgroup	Tacho			
Cylinder offset	0 °			
User channel ID 3				
User comment				
User channel id				
Channel id	1			
Channel name	T1			
DOF id	raw:Tacho1			
Point direction sign				
Point direction absolute	None			
Point direction	None			
Point id node	Tacho1			
Point id component				
Point id	raw:Tacho1			
Minimum Rotational Speed	600 rpm			
Lower Limit EU	600 rpm			
Upper Limit EU	6000 rpm			
          1.400000000e+02	          2.835971046e+00			
          1.410000000e+02	          2.856096505e+00			
          1.420000000e+02	          2.876221950e+00			
          1.430000000e+02	          2.896347495e+00			
          1.440000000e+02	          2.916473035e+00			
          1.450000000e+02	          2.936723466e+00			
          1.460000000e+02	          2.956848888e+00			
          1.470000000e+02	          2.976974388e+00			
          1.480000000e+02	          2.997099851e+00			
          1.490000000e+02	          3.017225366e+00			
          1.500000000e+02	          3.037350846e+00			
          1.510000000e+02	          3.057476303e+00			
          1.520000000e+02	          3.077601829e+00			
          1.530000000e+02	          3.097852250e+00			
          1.540000000e+02	          3.117977730e+00			
          1.550000000e+02	          3.138103248e+00			
          1.560000000e+02	          3.158228693e+00			
          1.570000000e+02	          3.178354183e+00			
          1.580000000e+02	          3.198479636e+00			
          1.590000000e+02	          3.218605171e+00			
          1.600000000e+02	          3.238730615e+00			
          1.610000000e+02	          3.258981148e+00			
          1.620000000e+02	          3.279106531e+00			
          1.630000000e+02	          3.299232004e+00			
          1.640000000e+02	          3.319357471e+00			
          1.650000000e+02	          3.339482917e+00			
          1.660000000e+02	          3.359608447e+00			
          1.670000000e+02	          3.379733940e+00			
          1.680000000e+02	          3.399859406e+00			
          1.690000000e+02	          3.420109869e+00			
          1.700000000e+02	          3.440235352e+00			
          1.710000000e+02	          3.460360851e+00			
          1.720000000e+02	          3.480486292e+00			
          1.730000000e+02	          3.500611782e+00			
          1.740000000e+02	          3.520737282e+00			
          1.750000000e+02	          3.540862809e+00			
          1.760000000e+02	          3.561113239e+00			
          1.770000000e+02	          3.581238712e+00			
          1.780000000e+02	          3.601364134e+00			
          1.790000000e+02	          3.621489630e+00			
          1.800000000e+02	          3.641615125e+00			
          1.810000000e+02	          3.661740601e+00			
          1.820000000e+02	          3.681866093e+00			
          1.830000000e+02	          3.701991558e+00			
          1.840000000e+02	          3.722242029e+00			
          1.850000000e+02	          3.742367485e+00			
          1.860000000e+02	          3.762493010e+00			
          1.870000000e+02	          3.782618462e+00			
          1.880000000e+02	          3.802743965e+00			
          1.890000000e+02	          3.822869340e+00			
          1.900000000e+02	          3.842994845e+00			
          1.910000000e+02	          3.863245383e+00			
          1.920000000e+02	          3.883370804e+00			
          1.930000000e+02	          3.903496354e+00			
          1.940000000e+02	          3.923621810e+00			
          1.950000000e+02	          3.943747307e+00			
          1.960000000e+02	          3.963872798e+00			
          1.970000000e+02	          3.983998249e+00			
          1.980000000e+02	          4.004248699e+00			
          1.990000000e+02	          4.024374153e+00			
          2.000000000e+02	          4.044499648e+00			
          2.010000000e+02	          4.064625145e+00			
          2.020000000e+02	          4.084750602e+00			
          2.030000000e+02	          4.104876106e+00			
          2.040000000e+02	          4.125001656e+00			
          2.050000000e+02	          4.145252068e+00			
          2.060000000e+02	          4.165377520e+00			
          2.070000000e+02	          4.185502999e+00			
          2.080000000e+02	          4.205628432e+00			
          2.090000000e+02	          4.225753914e+00			
          2.100000000e+02	          4.245879458e+00			
          2.110000000e+02	          4.266004921e+00			
          2.120000000e+02	          4.286130402e+00			
          2.130000000e+02	          4.306380897e+00			
          2.140000000e+02	          4.326506301e+00			
          2.150000000e+02	          4.346631764e+00			
          2.160000000e+02	          4.366757297e+00			
          2.170000000e+02	          4.386882794e+00			
          2.180000000e+02	          4.407008263e+00			
          2.190000000e+02	          4.427133724e+00			
          2.200000000e+02	          4.447259201e+00			
          2.210000000e+02	          4.467509691e+00			
          2.220000000e+02	          4.487635154e+00			
          2.230000000e+02	          4.507760622e+00			
          2.240000000e+02	          4.527886089e+00			
          2.250000000e+02	          4.548011540e+00			
          2.260000000e+02	          4.568137064e+00			
          2.270000000e+02	          4.588262562e+00			
          2.280000000e+02	          4.608388074e+00			
          2.290000000e+02	          4.628638477e+00			
          2.300000000e+02	          4.648763907e+00			
          2.310000000e+02	          4.668889416e+00			
          2.320000000e+02	          4.689014892e+00			
          2.330000000e+02	          4.709140401e+00			
          2.340000000e+02	          4.729265855e+00			
          2.350000000e+02	          4.749391401e+00			
          2.360000000e+02	          4.769516813e+00			
          2.370000000e+02	          4.789642311e+00			
          2.380000000e+02	          4.809892784e+00			
          2.390000000e+02	          4.830018177e+00			
          2.400000000e+02	          4.850143719e+00			
          2.410000000e+02	          4.870269193e+00			
          2.420000000e+02	          4.890394653e+00			
          2.430000000e+02	          4.910520165e+00			
          2.440000000e+02	          4.930645667e+00			
          2.450000000e+02	          4.950771130e+00			
          2.460000000e+02	          4.970896607e+00			
          2.470000000e+02	          4.991147057e+00			
          2.480000000e+02	          5.011272588e+00			
          2.490000000e+02	          5.031398011e+00			
          2.500000000e+02	          5.051523491e+00			
          2.510000000e+02	          5.071649017e+00			
          2.520000000e+02	          5.091774438e+00			
          2.530000000e+02	          5.111899934e+00			
          2.540000000e+02	          5.132150401e+00			
          2.550000000e+02	          5.152275874e+00			
          2.560000000e+02	          5.172401374e+00			
          2.570000000e+02	          5.192526808e+00			
          2.580000000e+02	          5.212652300e+00			
          2.590000000e+02	          5.232777770e+00			
          2.600000000e+02	          5.252903322e+00			
          2.610000000e+02	          5.273028770e+00			
          2.620000000e+02	          5.293279213e+00			
          2.630000000e+02	          5.313404630e+00			
          2.640000000e+02	          5.333530132e+00			
          2.650000000e+02	          5.353655586e+00			
          2.660000000e+02	          5.373781051e+00			
          2.670000000e+02	          5.393906532e+00			
          2.680000000e+02	          5.414032112e+00			
          2.690000000e+02	          5.434157549e+00			
          2.700000000e+02	          5.454408050e+00			
          2.710000000e+02	          5.474533516e+00			
          2.720000000e+02	          5.494659015e+00			
          2.730000000e+02	          5.514784460e+00			
          2.740000000e+02	          5.534909998e+00			
          2.750000000e+02	          5.555035455e+00			
          2.760000000e+02	          5.575160923e+00			
          2.770000000e+02	          5.595286413e+00			
          2.780000000e+02	          5.615536885e+00			
          2.790000000e+02	          5.635662304e+00			
          2.800000000e+02	          5.655787788e+00			
          2.810000000e+02	          5.675913276e+00			
          2.820000000e+02	          5.696038770e+00			
          2.830000000e+02	          5.716164244e+00			
          2.840000000e+02	          5.736289768e+00			
          2.850000000e+02	          5.756540217e+00			
          2.860000000e+02	          5.776665694e+00			
          2.870000000e+02	          5.796791159e+00			
